Pavilion 11,23 Akyab Road,Available from 12 Apr,4800,3,3,1485 sqft,S$ 3.23 psf,Condominium,Partially Furnished,2010,2d
Seletaris,501 Sembawang Road,Ready to move,1400,1,1,450 sqft,S$ 3.11 psf,Condominium,Fully Furnished,2001,1h
Wembly Residences,28 Yio Chu Kang Road,Ready to move,2800,3,3,1087 sqft,S$ 2.58 psf,Apartment,Partially Furnished,2012,3w
707 Choa Chu Kang Street 53,707 Choa Chu Kang Street 53,Available from 26 Mar,1900,3,2,1200 sqft,S$ 1.58 psf,HDB Apartment,Fully Furnished,,9s
Parkshore,201 Tanjong Rhu Road,Available from 15 Apr,3500,3,3,1341 sqft,S$ 2.61 psf,Condominium,Fully Furnished,1995,11s
186 Boon Lay Avenue,186 Boon Lay Avenue,Ready to move,1600,2,1,650 sqft,S$ 2.46 psf,HDB Apartment,Fully Furnished,,12s
617 Hougang Avenue 8,617 Hougang Avenue 8,Available from 31 Mar,1600,2,2,650 sqft,S$ 2.46 psf,HDB Apartment,,,15s
Marina One Residences,23 Marina Way,Ready to move,6700,2,2,1152 sqft,S$ 5.82 psf,Apartment,Partially Furnished,2017,21s
509 Bedok North Street 3,509 Bedok North Street 3,Ready to move,600,,,80 sqft,S$ 7.50 psf,HDB Apartment,,,39s
One-north Residences,Slim Barracks Rise,,6800,3,,1200 sqft,S$ 5.67 psf,Apartment,,2009,1m
Evergreen View,15 Lorong 36 Geylang,Ready to move,1999,1,1,670 sqft,S$ 2.98 psf,Terraced House,Partially Furnished,2011,1m
Citylights,80 Jellicoe Road,Ready to move,3500,2,1,678 sqft,S$ 5.16 psf,Condominium,Fully Furnished,2007,1m
17 Marsiling Lane,17 Marsiling Lane,Ready to move,350,1,1,50 sqft,S$ 7.00 psf,HDB Apartment,Fully Furnished,,1m
Scotts Square,8 Scotts Road,Ready to move,4499,1,1,624 sqft,S$ 7.21 psf,Apartment,Fully Furnished,2010,1m
Blk 281B Sengkang East Ave,Blk 281B Sengkang East Ave,Ready to move,2800,3,2,968 sqft,S$ 2.89 psf,HDB Apartment,Fully Furnished,,2m
605 Ang Mo Kio Avenue 5,605 Ang Mo Kio Avenue 5,Ready to move,950,,,120 sqft,S$ 7.92 psf,HDB Apartment,Fully Furnished,,2m
53 Havelock Road,53 Havelock Road,Ready to move,820,,,400 sqft,S$ 2.05 psf,HDB Apartment,Fully Furnished,,2m
273C Jurong West Avenue 3,273C Jurong West Avenue 3,Ready to move,600,,,80 sqft,S$ 7.50 psf,HDB Apartment,,,2m
13 Ghim Moh Road,13 Ghim Moh Road,Ready to move,3000,3,2,1323 sqft,S$ 2.27 psf,HDB Apartment,Fully Furnished,,3m
611 Ang Mo Kio Avenue 5,611 Ang Mo Kio Avenue 5,Ready to move,1800,2,2,721 sqft,S$ 2.50 psf,HDB Apartment,Partially Furnished,,3m
Flamingo Valley,478 Siglap Road,Ready to move,3500,2,2,872 sqft,S$ 4.01 psf,Condominium,Fully Furnished,2015,3m
4 Delta Avenue,4 Delta Avenue,Ready to move,800,,,150 sqft,S$ 5.33 psf,HDB Apartment,Fully Furnished,,3m
Haig 162,162 Haig Road,Ready to move,2600,2,2,581 sqft,S$ 4.48 psf,Condominium,Partially Furnished,2013,3m
Botannia,33A West Coast Park,Available from 23 Mar,3900,3,3,1300 sqft,S$ 3.00 psf,Condominium,Partially Furnished,2009,4m
Parvis,18 Holland Hill,Ready to move,8000,3,3,1710 sqft,S$ 4.68 psf,Condominium,Partially Furnished,2012,4m
La Fiesta,Sengkang Square,Available from 23 Mar,1900,1,1,431 sqft,S$ 4.41 psf,Condominium,Fully Furnished,2016,4m
Eight Courtyards,18 Canberra Drive,Ready to move,2600,3,2,958 sqft,S$ 2.71 psf,Condominium,Fully Furnished,2014,4m
Eight Courtyards,6 Canberra Drive,Ready to move,2200,2,2,861 sqft,S$ 2.56 psf,Condominium,Unfurnished,2014,4m
327A Sumang Walk. New with aircon,327A Sumang Walk,Ready to move,600,,,150 sqft,S$ 4.00 psf,HDB Apartment,Fully Furnished,,4m
The Ford @ Holland,1 Ford Avenue,Ready to move,2750,1,1,506 sqft,S$ 5.43 psf,Condominium,Fully Furnished,2009,4m
50 Lorong 5 Toa Payoh,50 Lorong 5 Toa Payoh,,600,,,90 sqft,S$ 6.67 psf,HDB Apartment,,,5m
91 Tanglin Halt Road,91 Tanglin Halt Road,Ready to move,2800,3,2,969 sqft,S$ 2.89 psf,HDB Apartment,Partially Furnished,,5m
34 Whampoa West,34 Whampoa West,Ready to move,2200,2,1,732 sqft,S$ 3.01 psf,HDB Apartment,Partially Furnished,,5m
The Ford @ Holland,1 Ford Avenue,Ready to move,2750,1,1,506 sqft,S$ 5.43 psf,Condominium,Fully Furnished,2009,5m
50 Lorong 5 Toa Payoh,50 Lorong 5 Toa Payoh,,600,,,90 sqft,S$ 6.67 psf,HDB Apartment,,,5m
91 Tanglin Halt Road,91 Tanglin Halt Road,Ready to move,2800,3,2,969 sqft,S$ 2.89 psf,HDB Apartment,Partially Furnished,,5m
34 Whampoa West,34 Whampoa West,Ready to move,2200,2,1,732 sqft,S$ 3.01 psf,HDB Apartment,Partially Furnished,,5m
525 Jurong West Street 52,525 Jurong West Street 52,Ready to move,2100,3,2,990 sqft,S$ 2.12 psf,HDB Apartment,Fully Furnished,,5m
Skysuites @ Anson,8 Enggor Street,,2600,,,366 sqft,S$ 7.10 psf,Condominium,Partially Furnished,2015,5m
Mandarin Gardens,5 Siglap Road,Ready to move,3900,3,3,1572 sqft,S$ 2.48 psf,Condominium,Partially Furnished,1986,6m
The Nexus,951 Bukit Timah Road,Ready to move,3700,2,2,947 sqft,S$ 3.91 psf,Condominium,Fully Furnished,2007,6m
The Aberdeen,2 Jalan Taman,Ready to move,3300,3,2,1399 sqft,S$ 2.36 psf,Condominium,Fully Furnished,1998,7m
28C Dover Crescent,28C Dover Crescent,Ready to move,900,,,100 sqft,S$ 9.00 psf,HDB Apartment,Fully Furnished,,7m
Regent Heights,52 Bukit Batok East Avenue 5,Available from 1 May,2300,3,2,1023 sqft,S$ 2.25 psf,Condominium,Fully Furnished,1999,7m
Wan Tho Lodge,25 Wan Tho Avenue,Ready to move,3800,4,2,2300 sqft 1545 sqft (land),S$ 2.46 psf,Corner Terrace,Partially Furnished,1966,7m
The Cape,25 Amber Road,Ready to move,4000,2,2,969 sqft,S$ 4.13 psf,Apartment,Partially Furnished,2014,8m
Eon Shenton,70 Shenton Way,Ready to move,3600,2,1,538 sqft,S$ 6.69 psf,Condominium,Partially Furnished,2019,8m
